"番号","カード名","属性","レア度","効果","元のファイル名"
"B-117","深夜カラオケ・虚無","ひで","SR","速攻。自分が2マス戻る。手番は続く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_5747.jpeg"
"B-118","花火・スパーク","ひで","SSR","サイコロを1個追加し、安全に1枚引く。","IMG_5732.jpeg"
"B-119","18禁カレー辛すぎた","えなみ・より","SR","速攻。自分が2マス戻り、手札をランダムに1枚捨てる。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_1021.jpeg"
"B-120","HIDE様","ひで","神話","相手1人の対戦用💎を全額奪う。防御・反射が可能。プレイヤー間の移転なので総量は増えない。","IMG_9744.jpeg"
"B-121","パンチングマシーン破壊","より","UR","相手1人を4マス戻し、安全に1枚引く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_9755.jpeg"
"B-122","夜空鑑賞","りおん・より","SSR","自分の呪いをすべて捨て、安全に2枚引く。","IMG_1204.jpeg"
"B-123","ビチクソ","ひで","UR","速攻。自分の手札をランダムに2枚捨てる。","IMG_0848.jpeg"
"B-124","映え","ひで","SSR","いちばんそろっている未完成シリーズの未所持の絵柄を1種獲得。山札・捨て札にない場合は安全に1枚引く。","AA229FA0-FC00-40DE-A70B-19E07D473C79.jpeg"
"B-125","パッド装着中","ひで","SSR","自分へのカード1枚またはマス1つの効果をすべて無効化する。","IMG_3956.jpeg"
"B-126","シンメトリ","ひで","UR","自分への相手の単体攻撃を1回だけ相手へ跳ね返す。反射できないマス・速攻は無効化する。","IMG_5362.jpeg"
"B-127","パーマ","ひで","SR","相手1人と手札をランダムに2枚ずつ交換し、出目＋1。交換した速攻は新しい持ち主に発動する。","IMG_5365.jpeg"
"B-128","宴","ひで・より","SSR","2枚引き、出目＋2。引いた速攻は発動する。","IMG_9461.jpeg"
"B-129","青空","ひで・より","SR","3マス進み、安全に1枚引く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_9473.jpeg"
"B-130","隠れ","ひで","SSR","自分へのカード1枚またはマス1つの効果をすべて無効化する。","IMG_9498.jpeg"
"B-131","日の入・三人の時間","りおん・ひで・より","LR","捨て札から1枚選んで回収→安全に1枚引く→出目＋3。回収した速攻は手札に保持する。","IMG_9618.jpeg"
"B-132","日の入・りおん","りおん","SR","捨て札から1枚選んで回収し、出目＋2。回収した速攻は手札に保持する。","IMG_9673.jpeg"
"B-133","天狗高原・えなみ","えなみ","SSR","8マス進む。この手番はサイコロを振らない。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_6812.jpeg"
"B-134","天狗高原・りおん","りおん","SSR","サイコロを1個追加し、合計出目に1を加える。","IMG_1954.jpeg"
"B-135","花火咥え","ひで","UR","速攻。自分が3マス戻り、手札をランダムに1枚捨てる。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_2063.jpeg"
"B-136","海BBQ","りおん","SR","安全に2枚引く。悪い速攻は無効にして捨てる。","IMG_2203.jpeg"
"B-137","瞑想","ひで・より","SR","自分の呪いをすべて捨て、出目＋2。","IMG_2307.jpeg"
"B-138","えなみの実家編","ひで・りおん","SSR","3枚引く。速攻は発動せず手札に保持し、次の自分の手番に使える。","IMG_2452.jpeg"
"B-139","ひで・白ver","ひで","SSR","自分の呪いをすべて捨て、3マス進む。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_2515.jpeg"
"B-140","天狗高原・ひで","ひで","UR","サイコロを2個追加して振る。合計は最大5個。","600BCB0E-C405-47B6-9F24-8A001740CA25.jpeg"
"B-141","天狗高原2・ひで","ひで","LR","相手1人の手札をランダムに2枚捨て、出目＋2。","3FFE75D6-66B2-4CE4-93D6-A643BCCCFD21.jpeg"
"B-142","驚き","より・ひで","SSR","相手1人を3マス戻し、出目＋2。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_4900.jpeg"
"B-143","イルミネーション","より・えなみ","SSR","未完成シリーズの未所持の絵柄を1種獲得し、出目＋1。絵柄がなければ安全に1枚引く。","IMG_7376.jpeg"
"B-144","ナマコ素手掴み","ひで","SR","相手1人の裏向きの手札から1枚奪い、安全に1枚引く。呪いを奪うこともある。","IMG_7831.jpeg"
"B-145","ピース・ひでとえなみ","ひで・えなみ","SR","出目＋2。安全に1枚引く。","IMG_2523.jpeg"
"B-146","名もなき川","より・えなみ・ひで","SSR","4マス進み、安全に1枚引く。 移動先のマス効果は発動しない（初回の神殿停止を除く）。","IMG_2527.jpeg"
