level,gear,circles,scenario,comp,enabled,n,wins,losses,draws,winRate,medianWinRounds,mean_damage,mean_taken,mean_healing,mean_mpSpent,mean_mpDrained,mean_shieldAbsorbed,mean_activations
1500,False,False,boss,gods,False,100,8,92,0,0.08,7.0,277610.48,66178.41,22155.82,452.92,0,1019.12,0
1500,False,False,boss,gods,True,100,8,92,0,0.08,7.0,277043.45,66155.21,22132.62,452.86,0,1019.12,0
1500,False,False,boss,poison,False,100,0,100,0,0.0,,93219.31,52695.02,9175.02,113.66,0,2959.94,0
1500,False,False,boss,poison,True,100,0,100,0,0.0,,93219.31,52822.08,9302.08,113.94,0,2959.94,0.92
1500,False,False,boss,guard,False,100,100,0,0,1.0,8.0,419525,71185.71,63192.26,558.71,0,37367.54,0
1500,False,False,boss,guard,True,100,100,0,0,1.0,8.0,419525,68315.81,62408.76,556.99,0,39954,6.27
1500,False,False,boss,finishers,False,100,100,0,0,1.0,5.0,419525,27075.72,3728.51,487.52,0,32908.62,0
1500,False,False,boss,finishers,True,100,100,0,0,1.0,5.0,419525,26890.96,3578.92,485.72,0,32747.99,3.52
1500,False,False,boss,mixed,False,100,85,15,0,0.85,9,402018.08,60572.51,34802.84,684.83,19.16,34387.98,0
1500,False,False,boss,mixed,True,100,85,15,0,0.85,9,402322.63,60300.93,34426.43,680.1,19.16,33970.65,5.51
1500,False,False,boss,unpaired,False,100,0,100,0,0.0,,240895.39,116420.57,31731.57,917.28,0,32089.51,0
1500,False,False,boss,unpaired,True,100,0,100,0,0.0,,240895.39,116420.57,31731.57,917.28,0,32089.51,0
1500,False,False,burst,gods,False,100,35,65,0,0.35,1,41830.34,52348.73,10154.45,97,45.14,4059.7,0
1500,False,False,burst,gods,True,100,34,66,0,0.34,1.0,40796.72,52258.26,9962.63,95.2,45.14,3977.91,0
1500,False,False,burst,poison,False,100,0,100,0,0.0,,11183.7,46994.89,3474.89,17.92,0,654.01,0
1500,False,False,burst,poison,True,100,0,100,0,0.0,,11183.7,47444.13,3924.13,17.92,0,654.01,0.47
1500,False,False,burst,guard,False,100,84,16,0,0.84,2.0,108157.68,93037.68,56092.96,172.93,0,10871.12,0
1500,False,False,burst,guard,True,100,89,11,0,0.89,2,110968.32,89884.31,55059.18,172.77,0,14641.95,3.22
1500,False,False,burst,finishers,False,100,100,0,0,1.0,1.0,103626.68,2920.53,0,122.33,0,9648.82,0
1500,False,False,burst,finishers,True,100,100,0,0,1.0,1.0,103626.68,2920.53,0,122.33,0,9648.82,0.01
1500,False,False,burst,mixed,False,100,70,30,0,0.7,3.0,94547.2,58241.7,16739.12,210.43,0,19954.85,0
1500,False,False,burst,mixed,True,100,71,29,0,0.71,3,95421.99,58119.95,16739.12,209.55,0,19864.98,1.29
1500,False,False,burst,unpaired,False,100,6,94,0,0.06,5.5,60403.53,103774.48,20170.75,298.97,0,15242,0
1500,False,False,burst,unpaired,True,100,6,94,0,0.06,5.5,60403.53,103774.48,20170.75,298.97,0,15242,0
1500,False,False,debuff,gods,False,100,2,98,0,0.02,1.5,56848.04,47267.34,2029.96,121.18,0,6361,0
