モード,条件,順番,名前,Lv,HP,攻撃,防御,速度,固有ID,勝率検証
第一章,1:floor-boss-10,1,⚔️ 黒鉄の剣王,14,486,54,20,25,floor-boss-10,未実戦検証
第一章,2:floor-boss-20,1,⚔️ 翠風の鏡術師,21,1090,321,29,77,floor-boss-20,未実戦検証
第一章,3:floor-boss-30,1,⚔️ 熔城の城塞公,31,1343,160,56,27,floor-boss-30,未実戦検証
第一章,4:floor-boss-40,1,⚔️ 氷迅の疾風侯,41,1755,170,65,51,floor-boss-40,未実戦検証
第一章,5:floor-boss-50,1,⚔️ 星祷の命紡ぎ,52,3752,163,180,54,floor-boss-50,未実戦検証
第一章,6:floor-boss-60,1,⚔️ 深潮の封陣卿,62,2037,154,154,75,floor-boss-60,未実戦検証
第一章,7:floor-boss-70,1,⚔️ 瘴牙の双牙将,72,4990,993,201,71,floor-boss-70,未実戦検証
第一章,8:floor-boss-80,1,⚔️ 虚鐘の葬鐘守,82,7138,229,301,38,floor-boss-80,未実戦検証
第一章,9:floor-boss-90,1,⚔️ 火冠の冠位竜,93,13523,651,472,68,floor-boss-90,未実戦検証
第一章,10:abyss_gluttony,1,⚔️ 深淵Ⅰ 暴食,103,19525,855,627,36,abyss_gluttony,未実戦検証
第一章,11:floor-boss-110,1,⚔️ 玄熔の剣王,113,5006,313,241,104,floor-boss-110,未実戦検証
第一章,12:floor-boss-120,1,⚔️ 裂焔の鏡術師,124,4082,193,156,110,floor-boss-120,未実戦検証
第一章,13:floor-boss-130,1,⚔️ 火脈の城塞公,134,5701,338,238,81,floor-boss-130,未実戦検証
第一章,14:floor-boss-140,1,⚔️ 熔迅の疾風侯,144,5022,456,239,205,floor-boss-140,未実戦検証
第一章,15:floor-boss-150,1,⚔️ 炉心の命紡ぎ,155,8401,362,337,187,floor-boss-150,未実戦検証
第一章,16:floor-boss-160,1,⚔️ 薄氷の封陣卿,165,10072,467,571,153,floor-boss-160,未実戦検証
第一章,17:floor-boss-170,1,⚔️ 霜牙の双牙将,175,19924,1476,925,215,floor-boss-170,未実戦検証
第一章,18:floor-boss-180,1,⚔️ 氷鐘の葬鐘守,185,30979,868,1166,83,floor-boss-180,未実戦検証
第一章,19:floor-boss-190,1,⚔️ 零冠の冠位竜,196,4518,320,200,210,floor-boss-190,未実戦検証
第一章,20:abyss_wrath,1,⚔️ 深淵Ⅱ 憤怒,206,29544,3244,1572,251,abyss_wrath,未実戦検証
第一章,21:floor-boss-210,1,⚔️ 胞鋼の剣王,216,11929,640,391,190,floor-boss-210,未実戦検証
第一章,22:floor-boss-220,1,⚔️ 菌鏡の鏡術師,227,13695,348,471,150,floor-boss-220,未実戦検証
第一章,23:floor-boss-230,1,⚔️ 殖城の城塞公,237,18211,428,829,91,floor-boss-230,未実戦検証
第一章,24:floor-boss-240,1,⚔️ 瘴迅の疾風侯,247,7392,919,271,493,floor-boss-240,未実戦検証
