対象ID,モード,編成,種族ID,Lv,試行数,勝利数,勝率%,勝利時平均R,勝利時最大R,初手戦闘不能あり%,MPが0になった戦闘%,相乗効果平均発動数
campaign:1:boss,第一章,妖精 / 石翼魔ガルゴディア / ゴブリン呪術師 / 灰燼牙アッシュガルム,fairy / gargoyle / goblin_shaman / ash_hound,30,100,100,100,3.11,7,1,0,0
campaign:1:boss,第一章,水精 / ゴブリン兵 / 鬼火 / 刃カマキリ,water_spirit / goblin_guard / willowisp / mantis,30,100,100,100,3.31,4,0,0,0
campaign:1:boss,第一章,癒しキノコ / 古殻要塞ガニ / 珊瑚蛇コラルナーガ / 星盤オオグソク,healing_mushroom / stapler_crab / reef_serpent / compass_beetle,30,100,100,100,3.33,7,1,0,0
campaign:2:boss,第一章,癒しキノコ / 古殻要塞ガニ / 珊瑚蛇コラルナーガ / 星盤オオグソク,healing_mushroom / stapler_crab / reef_serpent / compass_beetle,60,100,100,100,4.83,11,0,0,0
campaign:2:boss,第一章,水精 / ゴブリン兵 / 鬼火 / 刃カマキリ,water_spirit / goblin_guard / willowisp / mantis,60,100,94,94,6.05,17,0,0,0
campaign:2:boss,第一章,水精 / 泥殻将グラブロス / 深淵壺イソギンチャク / 雷燐蛾ヴォルモルフォ,water_spirit / mud_crab / gluepot_mimic / spark_moth,60,100,94,94,8.28,28,0,0,0
campaign:3:boss,第一章,水精 / 鉄城亀フェルムトルタ / 珊瑚蛇コラルナーガ / 森厳猿グロウコング,water_spirit / iron_turtle / reef_serpent / forest_ape,90,100,100,100,3.1,5,0,0,0
campaign:3:boss,第一章,灯幽霊ルクスファントム / 苔王機モスゴリアス / 深淵壺イソギンチャク / 嵐告鴉テンペストクロウ,lantern_ghost / moss_golem / gluepot_mimic / storm_crow,90,100,99,99,3.53,9,0,0,0
campaign:3:boss,第一章,妖精 / 泥殻将グラブロス / マンドラゴラ / 星盤オオグソク,fairy / mud_crab / mandrake / compass_beetle,90,100,98,98,4.64,12,1,0,0
campaign:4:boss,第一章,灯幽霊ルクスファントム / 鉄城亀フェルムトルタ / 砂鉄蠍サンドレギオン / 断角猪ブレイドボア,lantern_ghost / iron_turtle / sand_scorpion / blade_boar,120,100,100,100,3.32,6,0,0,0
campaign:4:boss,第一章,霧海母ミストメドゥーサ / 苔王機モスゴリアス / 宵眼梟ノクティス / 晶針蜂クリスタヴェスパ,mist_jelly / moss_golem / dusk_owl / crystal_bee,120,100,99,99,3.23,7,0,0,0
campaign:4:boss,第一章,癒しキノコ / 泥殻将グラブロス / 深淵壺イソギンチャク / 嵐告鴉テンペストクロウ,healing_mushroom / mud_crab / gluepot_mimic / storm_crow,120,100,99,99,4.94,8,0,0,0
campaign:5:boss,第一章,幽光オバケクラゲ / 蒼冠王アズルメルム / 深淵魔導イカ / 鋏刃アビスロブスター,correction_ghost / king_slime / fountain_pen_mage / scissor_mantis,150,100,100,100,4.23,7,0,0,0
campaign:5:boss,第一章,霧海母ミストメドゥーサ / 苔王機モスゴリアス / 水門妖カワロウ / 紫電針獣,mist_jelly / moss_golem / river_kappa / storm_quill_boar,150,100,100,100,4.68,8,0,0,0
campaign:5:boss,第一章,癒しキノコ / 泥殻将グラブロス / 砂鉄蠍サンドレギオン / 銅機将カッパーレギス,healing_mushroom / mud_crab / sand_scorpion / copper_automaton,150,100,81,81,10.06,19,0,1,0
campaign:6:boss,第一章,水精 / 泥殻将グラブロス / 砂鉄蠍サンドレギオン / 翠嵐竜ヴァイゼル,water_spirit / mud_crab / sand_scorpion / wyvern,180,100,100,100,2.04,3,0,0,0
campaign:6:boss,第一章,聖環精ルミナリエ / 苔王機モスゴリアス / 水門妖カワロウ / 鋏刃アビスロブスター,angelic_orb / moss_golem / river_kappa / scissor_mantis,180,100,100,100,2.11,3,0,0,0
campaign:6:boss,第一章,蒼歌姫セイレーネ / 蒼冠王アズルメルム / 深淵魔導イカ / 雷迅鳥ヴォルトラプター,tide_siren / king_slime / fountain_pen_mage / thunder_raptor,180,100,100,100,3,3,0,0,0
campaign:7:boss,第一章,霧海母ミストメドゥーサ / 雷針カブト / 宵眼梟ノクティス / 極光鎌虫,mist_jelly / thunder_shell_beetle / dusk_owl / aurora_mantis,210,100,100,100,3.12,5,1,0,0
campaign:7:boss,第一章,灯幽霊ルクスファントム / 泥殻将グラブロス / 砂鉄蠍サンドレギオン / 紫電針獣,lantern_ghost / mud_crab / sand_scorpion / storm_quill_boar,210,100,100,100,3.17,5,2,0,0
campaign:7:boss,第一章,蒼歌姫セイレーネ / 根城兵ルートバスティオン / 冥哭霊ネクロシア / 雷迅鳥ヴォルトラプター,tide_siren / root_guard / wraith / thunder_raptor,210,100,100,100,3.47,7,3,0,0
campaign:8:boss,第一章,霧海母ミストメドゥーサ / 苔王機モスゴリアス / 宵眼梟ノクティス / 鋏刃アビスロブスター,mist_jelly / moss_golem / dusk_owl / scissor_mantis,240,100,100,100,3.09,5,0,0,0
campaign:8:boss,第一章,聖環精ルミナリエ / 根城兵ルートバスティオン / 焔妖狐イグナレナード / 炎冠獅レオイグニス,angelic_orb / root_guard / ember_fox / flame_lion,240,100,100,100,3.19,6,0,0,0
campaign:8:boss,第一章,蒼歌姫セイレーネ / 鉄角王ミノスフェルム / 冥哭霊ネクロシア / 翡翠刃ジェイドリーパー,tide_siren / iron_minotaur / wraith / jade_mantis,240,100,100,100,3.31,6,0,0,0
campaign:9:boss,第一章,葬列司祭ネクロビショップ / 鉄角王ミノスフェルム / 深淵魔導イカ / 翡翠刃ジェイドリーパー,grave_bishop / iron_minotaur / fountain_pen_mage / jade_mantis,270,100,99,99,9.64,15,0,0,0
campaign:9:boss,第一章,天角聖鹿セレススタッグ / 溶界亀マグナトルタ / 夢蝕獣モルフェイーター / 雪影豹ニヴァルパルド,sky_stag / lava_tortoise / dream_eater / snow_leopard,270,100,97,97,5.96,8,0,1,0
campaign:9:boss,第一章,蒼歌姫セイレーネ / 蒼冠王アズルメルム / 冥哭霊ネクロシア / 雷迅鳥ヴォルトラプター,tide_siren / king_slime / wraith / thunder_raptor,270,100,73,73,10.36,18,0,0,0
