"対象ID","編成ID","キャラ","種族ID","Lv","スキル1","スキル2","スキル3","スキル4","スキルID"
"campaign:1:boss","2","妖精","fairy","30","癒やしの風","妖精・霊体偏移","","","fairy__identity_1 / fairy__identity_2 /  / "
"campaign:1:boss","2","石翼魔ガルゴディア","gargoyle","30","石翼撃","石翼魔ガルゴディア・動力転換","","","gargoyle__identity_1 / gargoyle__identity_2 /  / "
"campaign:1:boss","2","ゴブリン呪術師","goblin_shaman","30","ゴブリン呪術師・戦利品崩し","呪弾","","","goblin_shaman__identity_2 / goblin_shaman__identity_1 /  / "
"campaign:1:boss","2","灰燼牙アッシュガルム","ash_hound","30","迅雷撃","灰燼牙アッシュガルム・狩猟本能","","","ash_hound__identity_1 / ash_hound__identity_2 /  / "
"campaign:1:boss","4","水精","water_spirit","30","清流","水精・霊体偏移","","","water_spirit__identity_1 / water_spirit__identity_2 /  / "
"campaign:1:boss","4","ゴブリン兵","goblin_guard","30","ゴブリン兵・戦利品崩し","防衛突き","","","goblin_guard__identity_2 / goblin_guard__identity_1 /  / "
"campaign:1:boss","4","鬼火","willowisp","30","火の玉","鬼火・霊体偏移","","","willowisp__identity_1 / willowisp__identity_2 /  / "
"campaign:1:boss","4","刃カマキリ","mantis","30","鎌連撃","刃カマキリ・甲殻換装","","","mantis__identity_1 / mantis__identity_2 /  / "
"campaign:1:boss","1","癒しキノコ","healing_mushroom","30","胞子治癒","癒しキノコ・根脈循環","","","healing_mushroom__identity_1 / healing_mushroom__identity_2 /  / "
"campaign:1:boss","1","古殻要塞ガニ","stapler_crab","30","古殻大鋏","古殻要塞ガニ・甲殻換装","","","stapler_crab__identity_1 / stapler_crab__identity_2 /  / "
"campaign:1:boss","1","珊瑚蛇コラルナーガ","reef_serpent","30","猛毒牙","珊瑚蛇コラルナーガ・脱皮再生","","","reef_serpent__identity_1 / reef_serpent__identity_2 /  / "
"campaign:1:boss","1","星盤オオグソク","compass_beetle","30","星盤穿ち","星盤オオグソク・甲殻換装","","","compass_beetle__identity_1 / compass_beetle__identity_2 /  / "
"campaign:2:boss","1","癒しキノコ","healing_mushroom","60","胞子治癒","癒しキノコ・根脈循環","","","healing_mushroom__identity_1 / healing_mushroom__identity_2 /  / "
"campaign:2:boss","1","古殻要塞ガニ","stapler_crab","60","古殻大鋏","古殻要塞ガニ・守護陣","古殻要塞ガニ・甲殻換装","","stapler_crab__identity_1 / stapler_crab__identity_3 / stapler_crab__identity_2 / "
"campaign:2:boss","1","珊瑚蛇コラルナーガ","reef_serpent","60","珊瑚蛇コラルナーガ・侵蝕胞子","猛毒牙","珊瑚蛇コラルナーガ・脱皮再生","","reef_serpent__identity_3 / reef_serpent__identity_1 / reef_serpent__identity_2 / "
"campaign:2:boss","1","星盤オオグソク","compass_beetle","60","星盤オオグソク・影縫い","星盤穿ち","星盤オオグソク・甲殻換装","","compass_beetle__identity_3 / compass_beetle__identity_1 / compass_beetle__identity_2 / "
"campaign:2:boss","4","水精","water_spirit","60","清流","水精・霊体偏移","","","water_spirit__identity_1 / water_spirit__identity_2 /  / "
