対象ID,編成,種族ID,Lv,記録済試行数,勝利数,勝率%,平均R,例外
campaign:1:boss,癒しキノコ / 古殻要塞ガニ / 珊瑚蛇コラルナーガ / 星盤オオグソク,healing_mushroom / stapler_crab / reef_serpent / compass_beetle,30,100,100,100,3.33,
campaign:1:boss,妖精 / 石翼魔ガルゴディア / ゴブリン呪術師 / 灰燼牙アッシュガルム,fairy / gargoyle / goblin_shaman / ash_hound,30,100,100,100,3.11,
campaign:1:boss,水精 / ゴブリン兵 / 鬼火 / 刃カマキリ,water_spirit / goblin_guard / willowisp / mantis,30,100,100,100,3.31,
campaign:9:boss,蒼歌姫セイレーネ / 蒼冠王アズルメルム / 冥哭霊ネクロシア / 雷迅鳥ヴォルトラプター,tide_siren / king_slime / wraith / thunder_raptor,270,100,73,73.0,13.64,
campaign:9:boss,天角聖鹿セレススタッグ / 溶界亀マグナトルタ / 夢蝕獣モルフェイーター / 雪影豹ニヴァルパルド,sky_stag / lava_tortoise / dream_eater / snow_leopard,270,100,97,97.0,6.57,
campaign:9:boss,葬列司祭ネクロビショップ / 鉄角王ミノスフェルム / 深淵魔導イカ / 翡翠刃ジェイドリーパー,grave_bishop / iron_minotaur / fountain_pen_mage / jade_mantis,270,100,99,99.0,9.77,
campaign:17:boss,氷樹姫ニヴルドリアード / 黒葬騎ディアブロス / 雷衣術師エレノア / 雷鳴不死鳥フェニクスヴォルト,frost_dryad / dark_knight / volt_veil_arcanist / storm_phoenix,510,100,100,100,2.01,
campaign:17:boss,幽光オバケクラゲ / 溶界亀マグナトルタ / 嵐魔公ジンテンペスタ / 紅蓮竜ドラグニール,correction_ghost / lava_tortoise / storm_djinn / dragon,510,100,100,100,2.07,
campaign:17:boss,蒼歌姫セイレーネ / 魔紋巨兵ルーンゴリアス / 機巧賢者クロノマギア / 深海龍ネレイド,tide_siren / rune_golem / clockwork_mage / chalkboard_dragon,510,100,100,100,2.02,
campaign:25:boss,氷樹姫ニヴルドリアード / 世界樹護王ユグドガルド / 深海サルパ百鬼夜行 / 雷帝獣ヴァジュラ,frost_dryad / world_tree_guardian / pencilcase_parade / thunder_emperor,750,100,100,100,1.04,
campaign:25:boss,天角聖鹿セレススタッグ / 海嘯幼竜リヴァイアス / 雷衣術師エレノア / 海魔騎クラーケンロード,sky_stag / leviathan_spawn / volt_veil_arcanist / kraken_knight,750,100,100,100,1.01,
campaign:25:boss,極光聖獣アウロラ / 地殻巨神テラコロッサス / 疫界竜ペスティドラ / 天颶鳥ガルーダテンペスト,aurora_unicorn / earth_colossus / plague_dragon / cyclone_garuda,750,100,100,100,2.1,
campaign:33:boss,神託梟オラクルノクス / 凍鏡騎士グラシエル / 天嵐蛇王テンペストナーガ / 天雷牙獣ライガルム,oracle_owl / frozen_mirror_knight / tempest_serpent / stormfang_behemoth,990,100,100,100,1.08,
campaign:33:boss,極光聖獣アウロラ / 天穹鯨セレスティア / 冥炎蝶ヘルモルフォ / 星辰機神アステリオン,aurora_unicorn / celestial_whale / hell_butterfly / star_automaton,990,100,100,100,1.01,
campaign:33:boss,日輪聖女ソラリア / 地殻巨神テラコロッサス / 氷界女帝グラシエラ / 戦慄騎ケンタウロス,sun_priestess / earth_colossus / glacier_queen / dread_centaur,990,100,100,100,1.01,
campaign:41:boss,刻律機クロノギア / 凍鏡騎士グラシエル / 海皇姫ネレイディア / 雷霆麒麟ヴァジュラン,time_keeper / frozen_mirror_knight / sea_empress / thunder_kirin,1230,100,100,100,1,
campaign:41:boss,熾天聖セラフィエル / 天穹鯨セレスティア / 冥毒九頭竜ヒュドラ / 魔皇ディアボロス,seraphim / celestial_whale / abyssal_hydra / demon_lord,1230,100,100,100,1,
campaign:41:boss,神託梟オラクルノクス / 地殻巨神テラコロッサス / 天嵐蛇王テンペストナーガ / 創界粘神ジェネシス,oracle_owl / earth_colossus / tempest_serpent / genesis_slime,1230,100,100,100,1,
campaign:49:boss,天翔聖馬ペガシエル / 雷装機神デウスマキナ / 蠱毒女帝ヴェネフィカ / 冥府皇ハデスノクス,celestial_pegasus / mechanical_deity / poison_queen / underworld_king,1470,100,100,100,1.25,
campaign:49:boss,神託梟オラクルノクス / 天穹鯨セレスティア / 天嵐蛇王テンペストナーガ / 雷霆麒麟ヴァジュラン,oracle_owl / celestial_whale / tempest_serpent / thunder_kirin,1470,100,100,100,1.78,
campaign:49:boss,刻律機クロノギア / 翠嶺巨獣ベヒモルド / 海皇姫ネレイディア / 氷獄狼フェンリシア,time_keeper / emerald_behemoth / sea_empress / frost_fenrir,1470,100,100,100,2.04,
campaign:57:boss,天翔聖馬ペガシエル / 玄天聖亀ゲンブロス / 晶界女帝クリスタリア / 混沌獣キメラカオス,celestial_pegasus / sacred_turtle / crystal_empress / chaos_chimera,1710,100,100,100,1,
campaign:57:boss,刻律機クロノギア / 黒曜巨神オブシディア / 夢幻竜モルフェドラ / 日輪神鳥ソルガルーダ,time_keeper / obsidian_titan / dream_dragon / sun_garuda,1710,100,100,100,1,
campaign:57:boss,熾天聖セラフィエル / 雷装機神デウスマキナ / 月仙兎アルミラージュ / 冥府皇ハデスノクス,seraphim / mechanical_deity / moon_rabbit_sage / underworld_king,1710,100,100,100,1,
campaign:65:boss,森羅王ケルヌンノス / 玄天聖亀ゲンブロス / ベチー / 極粘神オメガメルム,forest_cernunnos / sacred_turtle / bechi / omega_slime,1950,100,100,100,1,
campaign:65:boss,天翔聖馬ペガシエル / 黒曜巨神オブシディア / 星界賢王アストラスフィンクス / 雷冠竜ヴォルトレクス,celestial_pegasus / obsidian_titan / astral_sphinx / thunder_crown_dragon,1950,100,100,100,1,
campaign:65:boss,刻律機クロノギア / 雷装機神デウスマキナ / 晶界女帝クリスタリア / 太古竜エルドラグーン,time_keeper / mechanical_deity / crystal_empress / ancient_dragon,1950,100,100,100,1,
campaign:73:boss,原初不死鳥フェニクシア / 獣界覇王ベヒモルク / 冥海竜皇リヴァイアサン / 神滅機アーク・ノア,primordial_phoenix / king_behemoth / abyssal_leviathan / god_machine_ark,2190,100,100,100,1,
campaign:73:boss,森羅王ケルヌンノス / 玄天聖亀ゲンブロス / ベチー / 黙示滅竜アポカリオン,forest_cernunnos / sacred_turtle / bechi / apocalypse_dragon,2190,100,100,100,1,
