folder,frame,scale,repaired_pixels
211_eraser_slime,idle1,0.9683,4
211_eraser_slime,idle2,1.0000,4
211_eraser_slime,idle3,1.0769,14
211_eraser_slime,walk1,1.0000,8
211_eraser_slime,walk2,1.0000,2
211_eraser_slime,attack,1.0000,5
211_eraser_slime,damage,1.0000,10
211_eraser_slime,down,1.0000,14
212_pushpin_roller,idle1,0.9604,0
212_pushpin_roller,idle2,1.0000,0
212_pushpin_roller,idle3,1.0268,0
212_pushpin_roller,walk1,1.0000,0
212_pushpin_roller,walk2,1.0000,0
212_pushpin_roller,attack,1.0000,1
212_pushpin_roller,damage,1.0000,0
212_pushpin_roller,down,1.0000,0
213_pencil_mouse,idle1,0.9806,2
213_pencil_mouse,idle2,1.0000,1
213_pencil_mouse,idle3,1.0000,3
213_pencil_mouse,walk1,1.0000,6
213_pencil_mouse,walk2,1.0000,8
213_pencil_mouse,attack,1.0000,2
213_pencil_mouse,damage,1.0000,1
213_pencil_mouse,down,1.0000,2
214_stapler_crab,idle1,1.0000,0
214_stapler_crab,idle2,0.9588,0
214_stapler_crab,idle3,1.0000,0
214_stapler_crab,walk1,1.0000,0
214_stapler_crab,walk2,1.0000,3
214_stapler_crab,attack,1.0000,0
214_stapler_crab,damage,1.0000,1
214_stapler_crab,down,1.0000,1
215_compass_beetle,idle1,1.0000,0
215_compass_beetle,idle2,0.9916,1
215_compass_beetle,idle3,1.0000,1
215_compass_beetle,walk1,1.0000,3
215_compass_beetle,walk2,1.0000,0
215_compass_beetle,attack,1.0000,9
215_compass_beetle,damage,1.0000,0
215_compass_beetle,down,1.0000,0
216_gluepot_mimic,idle1,0.9999,0
216_gluepot_mimic,idle2,1.0000,0
216_gluepot_mimic,idle3,1.0364,0
216_gluepot_mimic,walk1,1.0000,0
216_gluepot_mimic,walk2,1.0000,0
216_gluepot_mimic,attack,1.0000,0
216_gluepot_mimic,damage,1.0000,4
216_gluepot_mimic,down,1.0000,0
217_fountain_pen_mage,idle1,1.0353,0
217_fountain_pen_mage,idle2,1.0000,0
217_fountain_pen_mage,idle3,0.9710,0
217_fountain_pen_mage,walk1,1.0000,0
217_fountain_pen_mage,walk2,1.0000,0
217_fountain_pen_mage,attack,1.0000,0
217_fountain_pen_mage,damage,1.0000,0
217_fountain_pen_mage,down,1.0000,0
218_correction_ghost,idle1,0.9678,0
218_correction_ghost,idle2,1.0203,0
218_correction_ghost,idle3,1.0000,0
